,*BatchNum,*TreatCode,Cells/Single Cells/Single Cells-1 | Count,Cells/Single Cells/Single Cells-1/Live | Count,Cells/Single Cells/Single Cells-1/Live/CD45+ | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD4+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD4+ T Cells/CD62L+ CD4+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD4+ T Cells/PD-1+ CD4+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD8+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD8+ T Cells/CD62L+ CD8+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD8+ T Cells/PD-1+ CD8+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220+ CD11c- B Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220+ CD11c- B Cells/MHCII+ B Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220+ CD11c- B Cells/PD-1+ B Cells | Count,"Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c- | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46+ NK Cells | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46- | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b+ monocytes (Ly6G-) | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b+ monocytes (Ly6G-)/F4_80+ Macs | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b_hi | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b_hi/Ly6C_hi, Ly6G- Inflam Monocyte (MDSC) | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b_hi/Ly6G+ Neutrophils | Count",Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220+ | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220+/pDCs (MHCII_int) | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220- | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII+ cDCs | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII- | Count,"Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_hi, CD11c_hi | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_hi, CD11c_hi/cDC1s (CD8a+) | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_hi, CD11c_hi/cDC2s (CD4+) | Count",Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_int | Count,Cells/Single Cells/Single Cells-1/Live/EpCAM+ | Count,Cells/Single Cells/Single Cells-1/Live/EpCAM+/PD-1+ Tumor Cells | Count,Cells/Single Cells/Single Cells-1/CD45+ Cells | Count,Cells/Single Cells/Single Cells-1/EpCAM+ Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/PD-1+ CD45+/PD-1+ CD3+ Lymphocytes | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/PD-1+ CD45+ | Count,
M10.fcs,B1,control,8.49E5,8.03E5,7.58E5,245542,178850,140668,3253,57522,52289,423,5.12E5,4.67E5,4.29E5,945,28526,12721,15218,6940,4145,10755,2531,5279,15634,2597,582,12842,12546,1443,5671,657,4080,4052,,,,,5517,6510,
M11.fcs,B2,control,1.01E6,9.91E5,9.72E5,377250,275218,218177,5203,88236,83981,407,5.93E5,5.07E5,4.45E5,698,68915,22067,46668,15934,5294,40396,4260,26454,16503,3284,402,12969,12545,548,8078,817,6045,2971,,,,,6595,7762,
M22.fcs,B3,control,9.06E5,8.06E5,7.11E5,60510,44380,8318,5921,5240,3981,367,6.49E5,5.37E5,5.03E5,935,96684,14578,80453,21344,8858,68088,4717,53638,14327,1953,217,12138,11722,501,7657,1100,4364,2050,,,,,6766,8714,
M27.fcs,B5,control,5.28E5,261447,254940,159797,107465,71860,4480,45304,39219,199,95124,58615,54933,83.0,34214,3760,30004,1975,436,23889,347,22124,1553,160,9.00,1363,1168,205,614,227,248,74.0,,,,,7220,7398,
M31.fcs,B6,control,8.71E5,7.74E5,7.51E5,217566,149967,98880,5647,57679,52801,254,5.34E5,4.61E5,4.51E5,652,57174,10876,46170,9642,2500,39138,4131,29894,13012,573,141,12422,11896,662,4154,662,2654,1961,,,,,5545,6208,
M8.fcs,B2,drug,9.39E5,9.07E5,8.49E5,274519,200268,126836,8649,62407,53226,616,5.73E5,5.02E5,4.37E5,691,53229,8598,44468,15368,4312,39131,4244,24751,17135,2737,437,14189,13638,772,6968,1051,4745,4764,,,,,10521,11579,
M12.fcs,B2,drug,307659,284426,267326,115033,82131,53450,2834,28531,25228,143,151596,134033,126083,158,14024,4503,9456,3683,1016,7144,585,4221,3474,535,28.0,2875,2799,83.0,2239,225,1637,290,,,,,3325,3560,
M18.fcs,B3,drug,8.55E5,7.73E5,7.37E5,177367,131795,83528,6712,36470,30453,506,5.57E5,4.97E5,4.80E5,822,47981,6398,40566,10171,3897,34345,1811,27920,11535,1201,191,10167,9952,279,5788,762,3733,2370,,,,,6719,8175,
M26b.fcs,B6,drug,1.09E6,9.48E5,9.31E5,255630,176137,122812,3768,68889,56592,327,6.76E5,5.98E5,5.87E5,804,59246,12263,46890,8236,3478,37292,3262,29380,16447,1159,217,15174,14833,384,8077,979,5824,923,,,,,4261,5098,
M29.fcs,B5,drug,5.95E5,4.20E5,4.09E5,277228,201261,141173,7404,66649,54920,484,131919,85187,80601,97.0,42874,6358,35915,4300,981,29363,977,25461,2677,288,30.0,2331,1996,366,879,309,357,196,,,,,12022,12243,
M2.fcs,B1,fusD,6.59E5,6.09E5,5.75E5,231873,170798,140795,2903,53603,49151,344,342153,311128,291363,615,20929,8689,11801,5711,3136,8447,2032,3698,9857,1374,274,8358,7990,1047,3971,467,2781,2283,,,,,4777,5447,
M3.fcs,B1,fusD,8.79E5,8.46E5,6.62E5,226070,166635,128333,3899,50264,46418,369,4.35E5,376249,339033,931,42723,12998,28947,12761,7940,23593,5991,11513,15321,2912,728,12246,11612,2520,4339,695,2745,3838,,,,,5935,6838,
M21.fcs,B4,fusD,9.29E5,6.57E5,6.07E5,228421,150761,79601,6227,65690,54742,327,376856,300740,288594,349,68564,8842,59497,10288,2721,48115,2345,42367,7740,952,123,6703,6240,531,4305,1060,2474,1141,,,,,6670,8005,
M24.fcs,B4,fusD,1.14E6,1.12E6,8.61E5,248301,173812,57968,7755,59811,44816,390,6.11E5,4.85E5,4.21E5,414,102973,7902,94705,21348,6975,80060,4385,66605,23576,2530,563,20829,17414,4728,7326,1482,4674,6036,,,,,8198,9047,
M28.fcs,B6,fusD,8.94E5,8.09E5,7.97E5,209402,143665,95177,6562,55383,50312,375,5.88E5,5.11E5,5.01E5,684,57443,9669,47708,9216,4079,40727,4974,31894,16239,889,221,15265,14502,890,6107,1151,3677,1820,,,,,6763,7459,
M36.fcs,B5,fusD,44783,6952,5760,1813,1263,14.0,44.0,428,4.00,4.00,3945,1046,185,2.00,2844,99.0,2737,63.0,2.00,2530,3.00,2450,10.0,1.00,0,9.00,6.00,3.00,3.00,0,1.00,0,,,,,81.0,89.0,
M1.fcs,B2,fusD_drug,4.67E5,4.45E5,4.24E5,188803,133752,93356,4536,48423,43508,341,233762,199228,183617,230,30271,8374,21782,6637,2221,17771,951,11842,4147,691,50.0,3374,3238,152,2549,294,1804,339,,,,,5399,5797,
M9.fcs,B2,fusD_drug,9.44E5,8.97E5,7.06E5,202992,140604,76420,7098,52709,42855,810,5.01E5,4.44E5,398528,542,44867,8249,36490,13559,4179,30448,3544,20147,12391,1838,328,10414,10047,461,6041,1439,3451,2752,,,,,8789,9594,
M23.fcs,B3,fusD_drug,8.94E5,8.11E5,7.34E5,202314,142505,91643,9115,48493,43907,888,5.28E5,4.53E5,4.37E5,840,60844,6519,53205,11226,4417,46023,3260,38492,13167,1628,165,11328,11105,316,7030,987,4534,2277,,,,,8971,10654,
M30.fcs,B5,fusD_drug,5.10E5,354539,342441,229779,167398,116411,6453,54849,47032,313,112644,72379,67188,95.0,37202,5563,31341,2688,1081,25221,608,22652,2060,288,31.0,1731,1484,268,643,253,229,143,,,,,10293,10484,
M35.fcs,B6,fusD_drug,8.59E5,6.54E5,5.05E5,129042,78287,38633,5488,42895,36629,228,375834,314090,306224,442,50517,6693,43740,6958,1955,36276,3078,29314,9353,345,83.0,8986,8510,544,3732,1211,1834,1019,,,,,5370,5840,
M4.fcs,B1,fusS,9.34E5,8.89E5,7.39E5,262197,191183,154344,3837,61926,58319,319,4.76E5,4.27E5,394604,900,34574,14191,19729,10018,6940,14656,3695,5974,14495,2546,631,11767,11367,1936,4547,757,2978,3769,,,,,5694,6606,
M6.fcs,B1,fusS,7.75E5,7.38E5,6.67E5,242411,172477,140042,2722,61515,57490,462,4.24E5,379429,354356,771,31640,11628,19372,9011,5848,15505,3755,6932,12299,2635,648,9508,9177,1343,3958,612,2486,2949,,,,,4622,5434,
M14.fcs,B4,fusS,6.92E5,4.91E5,4.69E5,147415,103944,37599,3690,36553,16454,287,319697,267067,258607,304,46233,9078,36943,6521,1569,27390,719,24751,6465,903,105,5463,5240,258,3891,613,2633,701,,,,,4062,4870,
M17.fcs,B4,fusS,1.15E6,7.70E5,7.17E5,329069,239630,163185,7775,75363,68135,420,385689,293179,279425,386,81940,14753,66881,14712,3718,54695,2076,45599,11009,1377,249,9496,8399,1401,4544,919,2712,2369,,,,,8315,9430,
M33.fcs,B5,fusS,36592,4153,3162,1925,1199,31.0,40.0,589,18.0,15.0,1237,967,836,2.00,244,49.0,185,18.0,1.00,110,1.00,107,19.0,4.00,1.00,12.0,12.0,0,7.00,1.00,4.00,0,,,,,73.0,84.0,
M5.fcs,B2,fusS_drug,8.34E5,8.00E5,7.33E5,233706,172202,111732,7992,51709,45168,344,4.97E5,4.26E5,388762,616,58300,8026,50109,15921,4766,44200,3551,29549,12979,1817,188,11018,10693,364,7651,1249,5162,1920,,,,,8971,9999,
M7.fcs,B2,fusS_drug,8.27E5,7.86E5,7.27E5,235601,160875,94561,7062,64737,53821,410,4.89E5,4.33E5,4.07E5,622,44429,6161,38144,13559,4253,31610,2947,20178,11902,1782,181,9948,9710,276,6904,1080,4801,1777,,,,,8267,9189,
M13.fcs,B3,fusS_drug,8.67E5,8.17E5,7.77E5,226365,171209,122584,8257,43906,40618,794,5.47E5,4.81E5,4.59E5,667,52221,7927,42763,10302,5058,36757,2832,29338,14427,1803,246,12328,11934,582,6145,1100,3808,3430,,,,,8391,9637,
M19.fcs,B3,fusS_drug,9.76E5,8.64E5,7.42E5,209283,152880,98631,9880,45133,40182,1151,5.28E5,4.34E5,4.13E5,777,77661,8815,67326,15952,7529,59656,4328,46883,16054,1603,274,14251,13681,852,6381,1222,3551,4529,,,,,9646,11056,
M25.fcs,B6,fusS_drug,9.86E5,9.17E5,8.72E5,239899,171755,122780,6585,58594,52257,657,6.32E5,5.40E5,5.26E5,685,72463,9479,62905,10654,5421,53918,5131,43595,16969,841,208,16070,15434,815,5212,1098,3181,2295,,,,,6666,7351,
M32.fcs,B5,fusS_drug,396118,166922,144291,40853,28850,6658,2272,8928,2921,262,103420,52815,47853,64.0,47668,7307,40027,2751,858,35330,327,32924,1998,277,27.0,1676,1515,168,729,157,357,118,,,,,4033,4167,
Mean,-,-,7.70E5,6.69E5,6.08E5,200874,143224,94881,5439,48701,42108,414,4.06E5,345286,323650,526,49044,8848,39755,9608,3737,33206,2731,25498,10774,1360,237,9289,8825,772,4567,770,2924,2036,,,,,6515,7323,
SD,-,-,280281,285791,255962,84603,61904,51141,2479,20861,19580,240,199540,178155,167933,304,23558,4297,21502,5538,2379,18633,1694,16069,6051,943,206,5307,4985,918,2506,420,1715,1589,,,,,2685,2915,
