,*BatchNum,*TreatCode,Cells/Single Cells/Single Cells-1 | Count,Cells/Single Cells/Single Cells-1/Live | Count,Cells/Single Cells/Single Cells-1/Live/CD45+ | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD4+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD4+ T Cells/CD62L+ CD4+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD4+ T Cells/PD-1+ CD4+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD8+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD8+ T Cells/CD62L+ CD8+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD8+ T Cells/PD-1+ CD8+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220+ CD11c- B Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220+ CD11c- B Cells/MHCII+ B Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220+ CD11c- B Cells/PD-1+ B Cells | Count,"Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c- | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46+ NK Cells | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46- | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b+ monocytes (Ly6G-) | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b+ monocytes (Ly6G-)/F4_80+ Macs | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b_hi | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b_hi/Ly6C_hi, Ly6G- Inflam Monocyte (MDSC) | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b_hi/Ly6G+ Neutrophils | Count",Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220+ | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220+/pDCs (MHCII_int) | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220- | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII+ cDCs | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII- | Count,"Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_hi, CD11c_hi | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_hi, CD11c_hi/cDC1s (CD8a+) | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_hi, CD11c_hi/cDC2s (CD4+) | Count",Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_int | Count,Cells/Single Cells/Single Cells-1/Live/EpCAM+ | Count,Cells/Single Cells/Single Cells-1/Live/EpCAM+/PD-1+ Tumor Cells | Count,Cells/Single Cells/Single Cells-1/CD45+ Cells | Count,Cells/Single Cells/Single Cells-1/EpCAM+ Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/PD-1+ CD45+/PD-1+ CD3+ Lymphocytes | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/PD-1+ CD45+ | Count,
M10.fcs,B1,control,8.49E5,246980,10073,1985,332,115,82.0,698,69.0,50.0,7285,363,156,7.00,1218,98.0,1090,294,242,730,16.0,502,5252,920,8.00,4240,4196,35.0,2943,6.00,112,170,110594,5362,52728,5.22E5,182,287,
M11.fcs,B2,control,8.48E5,36382,10000,1143,419,35.0,147,360,25.0,142,8589,346,271,9.00,1272,157,1081,268,241,736,7.00,544,6489,232,7.00,6180,6125,32.0,4202,12.0,222,125,24491,364,24297,7.04E5,331,586,
M22.fcs,B3,control,1.29E6,114663,26133,5132,2246,844,511,1369,586,202,17955,3865,3264,27.0,2187,445,1687,278,165,1175,34.0,944,11096,447,29.0,10581,10224,284,7353,8.00,347,358,55614,884,54461,1.12E6,832,1014,
M27.fcs,B5,control,161015,22863,11318,4501,3051,575,745,830,220,105,6393,1056,956,33.0,1021,125,869,272,239,526,29.0,228,4227,1703,97.0,2395,2329,82.0,2204,14.0,58.0,78.0,10497,74.0,134061,17031,1099,1242,
M31.fcs,B6,control,235628,21841,6529,1467,768,87.0,206,322,23.0,67.0,4632,220,114,6.00,1074,162,912,267,219,702,48.0,472,3219,148,10.0,3050,2884,148,2415,11.0,106,55.0,14547,98.0,21942,81649,284,348,
M8.fcs,B2,drug,6.22E5,243255,2965,324,61.0,16.0,13.0,105,9.00,11.0,2440,46.0,17.0,1.00,422,22.0,391,59.0,45.0,308,4.00,235,1824,96.0,3.00,1683,1655,17.0,1136,3.00,43.0,59.0,96208,21587,4846,395221,40.0,84.0,
M12.fcs,B2,drug,137972,6792,2153,381,216,55.0,65.0,80.0,23.0,16.0,1708,339,311,15.0,334,102,212,53.0,49.0,198,2.00,127,874,105,4.00,764,760,1.00,387,3.00,22.0,19.0,4270,28.0,38398,8998,74.0,82.0,
M18.fcs,B3,drug,1.25E6,96867,26173,6224,2907,358,1206,1632,226,450,17267,981,310,23.0,3356,581,2687,414,276,1370,20.0,1078,11716,3637,125,7789,7306,390,4050,5.00,152,594,46570,9309,53774,1.10E6,1795,2645,
M26.fcs,B6,drug,1.37E6,135864,36032,4794,2168,396,547,1340,116,265,28476,1203,746,53.0,5019,586,4433,958,794,3450,136,2663,21685,488,32.0,21000,20174,767,18068,36.0,921,240,89009,653,60712,1.25E6,884,1375,
M29.fcs,B5,drug,5.00E5,17361,5925,1192,628,24.0,288,320,3.00,81.0,4233,158,51.0,3.00,788,80.0,693,362,315,539,72.0,176,3209,256,15.0,2917,2876,53.0,2773,3.00,105,69.0,10381,1329,369164,27684,475,518,
M2.fcs,B1,fusD,9.53E5,5.67E5,4090,572,145,56.0,31.0,158,22.0,18.0,2905,129,53.0,4.00,821,46.0,769,158,117,616,20.0,472,1784,202,14.0,1558,1506,41.0,1052,3.00,51.0,128,78036,2523,19849,4.00E5,67.0,117,
M3.fcs,B1,fusD,1.16E6,7.28E5,9949,1416,172,78.0,33.0,112,32.0,15.0,4983,216,71.0,40.0,2934,26.0,2903,602,203,2459,26.0,1693,1507,669,54.0,816,669,134,327,0,7.00,85.0,6.18E5,235244,49331,9.33E5,267,791,
M21.fcs,B4,fusD,7.75E5,24007,7892,2603,1771,233,237,493,65.0,128,5159,412,358,1.00,823,75.0,746,154,141,568,12.0,421,3321,1435,9.00,1774,1646,109,1017,4.00,34.0,43.0,14991,225,386317,61904,408,467,
M24.fcs,B4,fusD,1.01E6,87332,15015,1920,620,109,163,540,48.0,99.0,12197,241,88.0,5.00,2036,176,1853,327,261,1475,65.0,1195,8746,927,53.0,7637,7046,422,5163,6.00,143,655,56614,491,195168,5.92E5,464,571,
M28.fcs,B6,fusD,78325,11079,4856,3255,2197,718,138,805,270,51.0,1375,227,179,4.00,295,53.0,242,77.0,63.0,132,5.00,66.0,813,150,6.00,657,639,16.0,536,8.00,9.00,8.00,5874,21.0,34226,12107,177,208,
M36.fcs,B5,fusD,1.34E6,82202,13506,2038,803,25.0,400,373,9.00,100,8877,188,102,6.00,1575,122,1428,431,389,975,47.0,547,6996,114,21.0,6862,6702,201,6330,4.00,354,227,62844,31841,229084,5.96E5,808,953,
